,Team,G,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,year
16,Detroit Pistons,82,242.4,37.9,78.1,.486,6.4,17.8,.358,31.5,60.3,.523,18.3,23.9,.766,10.6,30.1,40.7,23.3,6.9,4.6,14.1,18.8,100.6,2011
17,Indiana Pacers*,82,241.2,37.5,83.4,.449,6.2,17.4,.359,31.2,66.0,.473,19.7,26.3,.750,11.4,31.9,43.3,20.4,7.5,5.7,13.9,21.4,100.9,2011
18,Oklahoma City Thunder*,82,244.0,38.1,83.2,.458,5.9,16.3,.361,32.2,66.9,.481,19.0,25.5,.744,11.4,29.2,40.6,20.9,7.2,4.3,14.0,21.5,101.0,2011
19,Utah Jazz,82,242.4,36.2,78.8,.459,7.2,19.2,.376,29.0,59.6,.486,21.7,27.9,.778,11.3,29.6,40.9,20.7,7.4,5.0,14.6,22.0,101.3,2011
20,Los Angeles Clippers,82,242.1,37.1,81.6,.455,7.1,19.5,.365,30.0,62.1,.484,20.4,26.4,.771,11.1,29.4,40.5,22.3,8.0,4.9,13.7,22.1,101.8,2011
21,Denver Nuggets*,82,240.3,38.5,83.9,.459,7.0,20.4,.344,31.4,63.4,.495,18.8,24.8,.756,10.5,30.8,41.3,22.2,7.5,6.0,13.7,22.7,102.7,2011
22,Houston Rockets,82,242.4,39.8,85.1,.468,5.5,15.2,.358,34.4,69.9,.492,18.6,23.8,.781,11.6,31.1,42.8,20.8,7.2,5.5,13.7,21.4,103.7,2011
23,Cleveland Cavaliers,82,240.9,39.4,83.0,.475,8.1,19.7,.411,31.3,63.3,.495,17.5,23.1,.759,10.9,32.6,43.5,24.2,7.5,6.0,13.5,21.3,104.5,2011
24,Washington Wizards,82,243.0,38.7,82.2,.471,6.8,18.3,.373,31.9,63.9,.499,20.4,26.9,.761,12.1,31.8,43.9,23.1,7.6,5.0,15.8,20.3,104.7,2011
25,Sacramento Kings,82,242.1,39.8,83.2,.478,5.9,16.5,.355,33.9,66.7,.508,19.4,25.4,.762,10.6,30.6,41.2,21.7,8.1,5.7,14.7,21.0,104.7,2011
26,Toronto Raptors,82,241.2,39.2,81.3,.482,6.6,17.5,.376,32.6,63.8,.511,20.4,26.5,.769,11.1,30.0,41.1,22.6,7.6,5.6,13.9,19.8,105.4,2011
27,Golden State Warriors,82,241.8,38.7,82.8,.467,6.9,19.3,.358,31.8,63.4,.501,21.4,27.6,.776,12.8,32.0,44.8,24.7,8.2,4.3,16.1,18.4,105.7,2011
28,New York Knicks*,82,241.2,39.5,83.8,.472,6.5,17.6,.372,33.0,66.2,.499,20.1,26.4,.762,11.8,32.3,44.0,20.5,7.1,4.4,15.2,20.8,105.7,2011
29,Phoenix Suns,82,244.0,40.4,85.6,.472,7.1,19.5,.367,33.2,66.1,.502,18.1,24.0,.754,12.0,32.3,44.3,23.0,7.9,4.3,14.5,21.2,105.9,2011
30,Minnesota Timberwolves,82,241.2,39.4,84.2,.468,7.8,20.8,.374,31.6,63.4,.499,21.1,27.2,.778,11.1,31.4,42.6,24.8,9.5,5.5,14.4,20.9,107.7,2011
0,Chicago Bulls*,66,241.5,34.6,82.1,.421,4.6,14.2,.325,30.0,67.9,.442,14.3,19.4,.740,11.4,28.6,40.0,18.9,7.4,5.2,13.3,17.7,88.2,2012
1,Boston Celtics*,66,241.5,33.4,79.7,.419,5.2,16.9,.308,28.2,62.8,.449,17.2,22.7,.760,11.8,31.4,43.2,18.7,7.8,4.6,15.7,18.4,89.3,2012
2,Philadelphia 76ers*,66,241.1,34.3,80.3,.427,5.4,16.2,.334,28.9,64.1,.450,15.4,20.5,.752,10.7,33.0,43.7,19.6,5.9,4.8,13.9,16.2,89.4,2012
