,Team,ATL,BOS,CHH,CHI,CLE,DAL,DEN,DET,GSW,HOU,IND,LAC,LAL,MIA,MIL,MIN,NJN,NYK,ORL,PHI,PHO,POR,SAC,SAS,SEA,TOR,UTA,VAN,WAS,year_x,W,L,W/L%,GB,PS/G,PA/G,SRS,year_y,Th,playoffs,MEM,NOH,CHA,NOK,OKC,BRK,NOP,CHO
23,Philadelphia 76ers,0-3,3-1,,1-3,1-3,0-2,1-1,1-3,0-2,1-1,0-3,0-2,1-1,2-1,1-2,0-2,,1-3,1-3,,0-2,1-1,1-1,0-2,,0-4,0-2,,1-3,2014,19,63,.232,29.0,99.5,109.9,-10.66,2014,Philadelphia 76ers,0,0-2,,1-3,,0-2,1-3,0-2,
24,Phoenix Suns,2-0,2-0,,0-2,1-1,1-2,4-0,1-1,2-2,1-2,2-0,1-3,3-1,0-2,2-0,2-1,,1-1,2-0,2-0,,3-1,2-2,1-3,,2-0,2-2,,1-1,2014,48,34,.585,9.0,105.2,102.6,3.02,2014,Phoenix Suns,0,0-4,,2-0,,2-1,0-2,4-0,
25,Portland Trail Blazers,2-0,2-0,,2-0,2-0,1-2,4-0,2-0,2-2,1-3,1-1,2-1,2-1,0-2,2-0,3-1,,2-0,1-1,1-1,1-3,,3-1,2-2,,2-0,4-0,,1-1,2014,54,28,.659,5.0,106.7,102.8,4.44,2014,Portland Trail Blazers,1,1-2,,1-1,,2-2,2-0,3-1,
26,Sacramento Kings,0-2,1-1,,1-1,1-1,1-3,2-1,0-2,0-4,2-2,0-2,0-4,1-3,1-1,2-0,2-2,,1-1,2-0,1-1,2-2,1-3,,0-3,,1-1,1-2,,1-1,2014,28,54,.341,29.0,100.5,103.4,-2.08,2014,Sacramento Kings,0,0-3,,0-2,,0-4,1-1,3-1,
27,San Antonio Spurs,2-0,2-0,,1-1,2-0,4-0,3-0,1-1,4-0,0-4,1-1,2-1,3-1,1-1,2-0,2-1,,1-1,2-0,2-0,3-1,2-2,3-0,,,2-0,4-0,,2-0,2014,62,20,.756,—,105.4,97.6,8.00,2014,San Antonio Spurs,1,4-0,,2-0,,0-4,1-1,4-0,
28,Toronto Raptors,2-2,3-1,,2-2,2-1,2-0,1-1,3-0,1-1,1-1,2-2,0-2,1-1,0-4,4-0,2-0,,2-2,3-0,4-0,0-2,0-2,1-1,0-2,,,2-0,,3-1,2014,48,34,.585,—,101.3,98.0,2.55,2014,Toronto Raptors,1,2-0,,0-3,,1-1,2-2,2-0,
29,Utah Jazz,0-2,1-1,,1-1,0-2,0-4,2-2,1-1,0-4,1-2,0-2,0-3,2-2,1-1,1-1,1-3,,0-2,2-0,2-0,2-2,0-4,2-1,0-4,,0-2,,,1-1,2014,25,57,.305,34.0,95.0,102.2,-6.27,2014,Utah Jazz,0,0-3,,2-0,,1-3,0-2,2-2,
30,Washington Wizards,3-1,3-1,,2-1,2-2,0-2,0-2,2-2,1-1,0-2,1-2,0-2,2-0,2-2,3-1,1-1,,3-0,4-0,3-1,1-1,1-1,1-1,0-2,,1-3,1-1,,,2014,44,38,.537,10.0,100.7,99.4,0.48,2014,Washington Wizards,1,0-2,,1-3,,1-1,3-0,2-0,
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,Atlantic Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,Central Division,0,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,Southeast Division,0,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,Northwest Division,0,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,Pacific Division,0,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2014,Southwest Division,0,,,,,,,,
0,Atlanta Hawks,,2-1,,2-1,3-1,2-0,1-1,3-1,1-1,2-0,3-0,2-0,1-1,4-0,3-1,2-0,,2-1,3-1,3-1,2-0,2-0,2-0,0-2,,1-3,2-0,,3-1,2015,60,22,.732,—,102.5,97.1,4.75,2015,Atlanta Hawks,1,1-1,,,,1-1,4-0,1-1,2-2
1,Boston Celtics,1-2,,,1-3,2-2,0-2,2-0,2-1,0-2,0-2,3-1,0-2,1-1,1-3,1-2,1-1,,3-1,2-2,4-0,1-1,1-1,1-1,0-2,,2-2,2-0,,1-2,2015,40,42,.488,9.0,101.4,101.2,-0.40,2015,Boston Celtics,1,1-1,,,,0-2,3-1,2-0,2-2
2,Brooklyn Nets,0-4,1-3,,1-3,1-3,1-1,2-0,2-1,1-1,0-2,2-1,1-1,2-0,0-4,1-3,1-1,,4-0,3-0,3-1,0-2,1-1,2-0,1-1,,2-2,0-2,,2-2,2015,38,44,.463,11.0,98.0,100.9,-3.13,2015,Brooklyn Nets,1,0-2,,,,2-0,,0-2,2-1
3,Chicago Bulls,1-2,3-1,,,1-3,1-1,1-1,2-2,1-1,1-1,2-2,1-1,1-1,2-1,3-1,2-0,,3-0,2-2,3-0,1-1,1-1,1-1,1-1,,4-0,1-1,,2-2,2015,50,32,.610,3.0,100.8,97.8,2.54,2015,Chicago Bulls,1,1-1,,,,1-1,3-1,2-0,2-2
4,Charlotte Hornets,2-2,2-2,,2-2,0-3,0-2,2-0,2-2,0-2,0-2,1-3,0-2,1-1,2-2,2-1,2-0,,3-1,2-2,2-1,1-1,0-2,0-2,0-2,,2-2,1-1,,2-2,2015,33,49,.402,27.0,94.2,97.3,-3.44,2015,Charlotte Hornets,0,0-2,,,,0-2,1-2,1-1,
5,Cleveland Cavaliers,1-3,2-2,,3-1,,1-1,1-1,3-1,1-1,0-2,2-2,2-0,2-0,2-2,3-1,2-0,,2-1,3-0,2-1,1-1,1-1,1-1,1-1,,3-1,1-1,,3-1,2015,53,29,.646,—,103.1,98.7,4.08,2015,Cleveland Cavaliers,1,2-0,,,,1-1,3-1,1-1,3-0
6,Dallas Mavericks,0-2,2-0,,1-1,1-1,,2-1,1-1,0-4,1-3,0-2,1-2,4-0,1-1,2-0,3-0,,2-0,2-0,2-0,1-3,2-2,3-0,2-2,,2-0,3-1,,2-0,2015,50,32,.610,6.0,105.2,102.3,3.36,2015,Dallas Mavericks,1,1-3,,,,3-1,1-1,3-1,2-0
7,Denver Nuggets,1-1,0-2,,1-1,1-1,1-2,,1-1,1-2,0-4,2-0,1-3,3-1,1-1,1-1,3-1,,1-1,2-0,0-2,1-2,0-4,2-2,0-4,,0-2,2-2,,0-2,2015,30,52,.366,21.0,101.5,105.0,-3.07,2015,Denver Nuggets,0,1-2,,,,1-3,0-2,3-1,0-2
8,Detroit Pistons,1-3,1-2,,2-2,1-3,1-1,1-1,,0-2,1-1,2-2,0-2,0-2,2-1,1-3,0-2,,3-1,3-1,1-3,1-1,0-2,2-0,1-1,,2-2,0-2,,1-2,2015,32,50,.390,21.0,98.5,99.5,-1.39,2015,Detroit Pistons,0,1-1,,,,1-1,1-2,0-2,2-2
9,Golden State Warriors,1-1,2-0,,1-1,1-1,4-0,2-1,2-0,,4-0,1-1,3-1,3-1,2-0,2-0,4-0,,2-0,2-0,2-0,3-1,3-0,4-0,1-2,,2-0,3-1,,2-0,2015,67,15,.817,—,110.0,99.9,10.01,2015,Golden State Warriors,1,2-1,,,,3-1,1-1,3-1,2-0
10,Houston Rockets,0-2,2-0,,1-1,2-0,3-1,4-0,1-1,0-4,,2-0,2-2,2-1,2-0,2-0,4-0,,2-0,1-1,2-0,3-1,1-2,3-0,1-3,,1-1,3-1,,1-1,2015,56,26,.683,—,103.9,100.5,3.82,2015,Houston Rockets,1,2-2,,,,3-0,2-0,2-2,2-0
11,Indiana Pacers,0-3,1-3,,2-2,2-2,2-0,0-2,2-2,1-1,0-2,,0-2,1-1,3-1,2-2,1-1,,4-0,3-0,3-1,0-2,0-2,0-2,0-2,,0-3,2-0,,2-2,2015,38,44,.463,15.0,97.3,97.0,-0.23,2015,Indiana Pacers,0,0-2,,,,1-1,1-2,2-0,3-1
12,Los Angeles Clippers,0-2,2-0,,1-1,0-2,2-1,3-1,2-0,1-3,2-2,2-0,,4-0,1-1,1-1,3-0,,2-0,2-0,2-0,4-0,3-1,3-1,2-2,,0-2,4-0,,1-1,2015,56,26,.683,11.0,106.7,100.1,6.80,2015,Los Angeles Clippers,1,2-2,,,,2-1,1-1,2-1,2-0
13,Los Angeles Lakers,1-1,1-1,,1-1,0-2,0-4,1-3,2-0,1-3,1-2,1-1,0-4,,0-2,1-1,3-1,,0-2,1-1,2-0,0-4,0-4,1-3,1-2,,1-1,1-2,,0-2,2015,21,61,.256,46.0,98.5,105.3,-6.17,2015,Los Angeles Lakers,0,0-4,,,,0-3,0-2,0-4,1-1
14,Memphis Grizzlies,1-1,1-1,,1-1,0-2,3-1,2-1,1-1,1-2,2-2,2-0,2-2,4-0,2-0,1-1,2-1,,2-0,2-0,2-0,3-0,4-0,3-1,2-2,,1-1,2-2,,0-2,2015,55,27,.671,1.0,98.3,95.1,3.62,2015,Memphis Grizzlies,1,,,,,3-1,2-0,2-2,2-0
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,,,,,,,,,,,,,,,,,,
16,Miami Heat,0-4,3-1,,1-2,2-2,1-1,1-1,1-2,0-2,0-2,1-3,1-1,2-0,,0-4,1-1,,3-0,3-1,3-1,2-0,1-1,2-0,0-2,,1-2,1-1,,1-3,2015,37,45,.451,23.0,94.7,97.3,-2.92,2015,Miami Heat,0,0-2,,,,0-2,4-0,0-2,2-2
17,Milwaukee Bucks,1-3,2-1,,1-3,1-3,0-2,1-1,3-1,0-2,0-2,2-2,1-1,1-1,4-0,,2-0,,4-0,2-2,4-0,1-1,1-1,2-0,0-2,,1-2,0-2,,1-2,2015,41,41,.500,12.0,97.8,97.4,-0.09,2015,Milwaukee Bucks,1,1-1,,,,1-1,3-1,0-2,1-2
18,Minnesota Timberwolves,0-2,1-1,,0-2,0-2,0-3,1-3,2-0,0-4,0-4,1-1,0-3,1-3,1-1,0-2,,,2-0,0-2,0-2,1-3,2-2,0-3,0-4,,0-2,1-3,,1-1,2015,16,66,.195,35.0,97.8,106.5,-8.00,2015,Minnesota Timberwolves,0,1-2,,,,0-4,1-1,0-4,0-2
19,New Orleans Pelicans,1-1,0-2,,0-2,1-1,1-3,1-3,2-0,1-3,2-2,0-2,1-2,4-0,2-0,2-0,4-0,,1-1,1-1,1-1,2-1,0-3,3-1,3-1,,2-0,2-1,,0-2,2015,45,37,.549,11.0,99.4,98.6,1.13,2015,New Orleans Pelicans,1,2-2,,,,3-1,2-0,,1-1
20,New York Knicks,1-2,1-3,,0-3,1-2,0-2,1-1,1-3,0-2,0-2,0-4,0-2,2-0,0-3,0-4,0-2,,,2-2,3-1,0-2,0-2,0-2,1-1,,1-3,0-2,,0-4,2015,17,65,.207,32.0,91.9,101.2,-9.50,2015,New York Knicks,0,0-2,,,,1-1,0-4,1-1,1-3
21,Oklahoma City Thunder,1-1,2-0,,1-1,1-1,1-3,3-1,1-1,1-3,0-3,1-1,1-2,3-0,2-0,1-1,4-0,,1-1,2-0,2-0,3-1,1-3,3-1,1-2,,1-1,2-2,,2-0,2015,45,37,.549,6.0,104.0,101.8,2.47,2015,Oklahoma City Thunder,0,1-3,,,,,0-2,1-3,2-0
22,Orlando Magic,1-3,2-2,,2-2,0-3,0-2,0-2,1-3,0-2,1-1,0-3,0-2,1-1,1-3,2-2,2-0,,2-2,,2-1,1-1,1-1,2-0,0-2,,0-4,1-1,,0-4,2015,25,57,.305,35.0,95.7,101.4,-5.87,2015,Orlando Magic,0,0-2,,,,0-2,0-3,1-1,2-2
23,Philadelphia 76ers,1-3,0-4,,0-3,1-2,0-2,2-0,3-1,0-2,0-2,1-3,0-2,0-2,1-3,0-4,2-0,,1-3,1-2,,0-2,0-2,1-1,0-2,,0-4,0-2,,1-3,2015,18,64,.220,31.0,92.0,101.0,-9.04,2015,Philadelphia 76ers,0,0-2,,,,0-2,1-3,1-1,1-2
24,Phoenix Suns,0-2,1-1,,1-1,1-1,3-1,2-1,1-1,1-3,1-3,2-0,0-4,4-0,0-2,1-1,3-1,,2-0,1-1,2-0,,1-3,1-3,1-3,,1-1,2-1,,2-0,2015,39,43,.476,28.0,102.4,103.3,-0.38,2015,Phoenix Suns,0,0-3,,,,1-3,2-0,1-2,1-1
25,Portland Trail Blazers,0-2,1-1,,1-1,1-1,2-2,4-0,2-0,0-3,2-1,2-0,1-3,4-0,1-1,1-1,2-2,,2-0,1-1,2-0,3-1,,2-1,3-1,,2-0,2-2,,1-1,2015,51,31,.622,—,102.8,98.6,4.41,2015,Portland Trail Blazers,1,0-4,,,,3-1,1-1,3-0,2-0
26,Sacramento Kings,0-2,1-1,,1-1,1-1,0-3,2-2,0-2,0-4,0-3,2-0,1-3,3-1,0-2,0-2,3-0,,2-0,0-2,1-1,3-1,1-2,,1-3,,0-2,1-3,,1-1,2015,29,53,.354,38.0,101.3,105.0,-3.07,2015,Sacramento Kings,0,1-3,,,,1-3,0-2,1-3,2-0
27,San Antonio Spurs,2-0,2-0,,1-1,1-1,2-2,4-0,1-1,2-1,3-1,2-0,2-2,2-1,2-0,2-0,4-0,,1-1,2-0,2-0,3-1,1-3,3-1,,,1-1,1-2,,1-1,2015,55,27,.671,1.0,103.2,97.0,6.34,2015,San Antonio Spurs,1,2-2,,,,2-1,1-1,1-3,2-0
28,Toronto Raptors,3-1,2-2,,0-4,1-3,0-2,2-0,2-2,0-2,1-1,3-0,2-0,1-1,2-1,2-1,2-0,,3-1,4-0,4-0,1-1,0-2,2-0,1-1,,,2-0,,3-0,2015,49,33,.598,—,104.0,100.9,2.45,2015,Toronto Raptors,1,1-1,,,,1-1,2-2,0-2,2-2
29,Utah Jazz,0-2,0-2,,1-1,1-1,1-3,2-2,2-0,1-3,1-3,0-2,0-4,2-1,1-1,2-0,3-1,,2-0,1-1,2-0,1-2,2-2,3-1,2-1,,0-2,,,0-2,2015,38,44,.463,13.0,95.1,94.9,0.71,2015,Utah Jazz,0,2-2,,,,2-2,2-0,1-2,1-1
30,Washington Wizards,1-3,2-1,,2-2,1-3,0-2,2-0,2-1,0-2,1-1,2-2,1-1,2-0,3-1,2-1,1-1,,4-0,4-0,3-1,0-2,1-1,1-1,1-1,,0-3,2-0,,,2015,46,36,.561,14.0,98.5,97.8,0.17,2015,Washington Wizards,1,2-0,,,,0-2,2-2,2-0,2-2
31,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Atlantic Division,0,,,,,,,,
32,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Central Division,0,,,,,,,,
33,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Southeast Division,0,,,,,,,,
34,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Northwest Division,0,,,,,,,,
35,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Pacific Division,0,,,,,,,,
36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2015,Southwest Division,0,,,,,,,,
0,Atlanta Hawks,,3-1,,4-0,0-3,2-0,2-0,3-1,0-2,2-0,2-2,1-1,2-0,1-3,1-2,0-2,,2-2,2-2,3-0,1-1,2-0,1-1,0-2,,1-3,1-1,,2-2,2016,48,34,.585,9.0,102.8,99.2,3.49,2016,Atlanta Hawks,1,2-0,,,,1-1,2-1,2-0,3-1
1,Boston Celtics,1-3,,,2-1,1-2,0-2,2-0,2-2,1-1,1-1,1-3,1-1,1-1,3-0,3-1,1-1,,3-1,2-2,4-0,2-0,1-1,2-0,0-2,,1-3,1-1,,4-0,2016,48,34,.585,9.0,105.7,102.5,2.84,2016,Boston Celtics,1,1-1,,,,1-1,2-2,2-0,2-1
2,Brooklyn Nets,1-2,2-2,,1-2,1-3,0-2,2-0,1-3,0-2,2-0,1-3,0-2,0-2,1-3,0-3,0-2,,2-2,0-4,2-2,2-0,0-2,1-1,0-2,,0-4,1-1,,0-3,2016,21,61,.256,36.0,98.6,106.0,-7.12,2016,Brooklyn Nets,0,0-2,,,,1-1,,0-2,0-4
3,Chicago Bulls,0-4,1-2,,,3-1,0-2,1-1,1-3,0-2,2-0,3-1,1-1,2-0,0-4,3-1,0-2,,1-3,1-2,4-0,1-1,1-1,2-0,1-1,,4-0,1-1,,1-2,2016,42,40,.512,15.0,101.6,103.1,-1.46,2016,Chicago Bulls,0,1-1,,,,2-0,2-1,2-0,1-3
4,Charlotte Hornets,1-3,1-2,,3-1,1-3,1-1,0-2,2-1,0-2,1-1,3-0,0-2,2-0,2-2,3-1,2-0,,3-1,3-1,4-0,1-1,1-1,2-0,1-1,,1-2,1-1,,2-2,2016,48,34,.585,9.0,103.4,100.7,2.36,2016,Charlotte Hornets,1,2-0,,,,0-2,4-0,1-1,
5,Cleveland Cavaliers,3-0,2-1,,1-3,,2-0,2-0,1-3,0-2,1-1,3-1,2-0,2-0,1-2,3-1,2-0,,4-0,4-0,4-0,2-0,1-1,2-0,1-1,,1-2,1-1,,2-2,2016,57,25,.695,—,104.3,98.3,5.45,2016,Cleveland Cavaliers,1,1-1,,,,2-0,3-1,1-1,3-1
6,Dallas Mavericks,0-2,2-0,,2-0,0-2,,3-1,1-1,1-3,2-2,0-2,1-3,3-0,0-2,1-1,4-0,,2-0,1-1,2-0,3-0,2-1,1-3,0-4,,0-2,2-1,,1-1,2016,42,40,.512,31.0,102.3,102.6,-0.02,2016,Dallas Mavericks,1,3-1,,,,0-4,2-0,2-2,1-1
7,Denver Nuggets,0-2,0-2,,1-1,0-2,1-3,,2-0,1-3,3-0,1-1,1-2,3-1,0-2,1-1,3-1,,2-0,0-2,2-0,2-2,1-3,0-3,1-3,,2-0,0-4,,2-0,2016,33,49,.402,40.0,101.9,105.0,-2.81,2016,Denver Nuggets,0,1-3,,,,0-4,0-2,1-2,2-0
8,Detroit Pistons,1-3,2-2,,3-1,3-1,1-1,0-2,,1-1,2-0,1-3,0-2,1-1,2-2,3-1,2-0,,1-2,3-0,4-0,2-0,2-0,1-1,0-2,,1-2,2-0,,1-3,2016,44,38,.537,13.0,102.0,101.4,0.43,2016,Detroit Pistons,1,0-2,,,,1-1,3-1,0-2,1-2
9,Golden State Warriors,2-0,1-1,,2-0,2-0,3-1,3-1,1-1,,3-0,2-0,4-0,3-1,2-0,1-1,2-1,,2-0,2-0,2-0,4-0,3-1,4-0,3-1,,2-0,4-0,,2-0,2016,73,9,.890,—,114.9,104.1,10.38,2016,Golden State Warriors,1,4-0,,,,3-0,2-0,3-0,2-0
10,Houston Rockets,0-2,1-1,,0-2,1-1,2-2,0-3,0-2,0-3,,1-1,2-2,4-0,1-1,1-1,3-0,,1-1,1-1,2-0,2-1,2-2,3-1,1-3,,2-0,2-2,,1-1,2016,41,41,.500,32.0,106.5,106.4,0.34,2016,Houston Rockets,1,2-2,,,,2-2,0-2,3-1,1-1
11,Indiana Pacers,2-2,3-1,,1-3,1-3,2-0,1-1,3-1,0-2,1-1,,1-1,2-0,2-2,3-1,2-0,,3-0,3-1,3-0,2-0,0-2,0-2,1-1,,1-3,0-2,,2-1,2016,45,37,.549,12.0,102.2,100.5,1.62,2016,Indiana Pacers,1,0-2,,,,1-1,3-1,2-0,0-3
12,Los Angeles Clippers,1-1,1-1,,1-1,0-2,3-1,2-1,2-0,0-4,2-2,1-1,,4-0,2-0,2-0,3-1,,2-0,2-0,2-0,2-2,3-1,3-1,1-2,,0-2,2-1,,2-0,2016,53,29,.646,20.0,104.5,100.2,4.13,2016,Los Angeles Clippers,1,2-1,,,,1-3,2-0,3-1,2-0
13,Los Angeles Lakers,0-2,1-1,,0-2,0-2,0-3,1-3,1-1,1-3,0-4,0-2,0-4,,1-1,1-1,1-2,,0-2,1-1,1-1,1-3,0-3,0-4,0-4,,0-2,1-3,,1-1,2016,17,65,.207,56.0,97.3,106.9,-8.92,2016,Los Angeles Lakers,0,1-3,,,,0-4,2-0,2-1,0-2
14,Memphis Grizzlies,0-2,1-1,,1-1,1-1,1-3,3-1,2-0,0-4,2-2,2-0,1-2,3-1,1-1,1-1,2-2,,2-0,1-1,2-0,2-2,2-2,3-0,0-4,,0-2,1-2,,1-1,2016,42,40,.512,31.0,99.1,101.3,-2.14,2016,Memphis Grizzlies,1,,,,,1-2,2-0,4-0,0-2
15,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2016,,,,,,,,,,,,,,,,,,
16,Miami Heat,3-1,0-3,,4-0,2-1,2-0,2-0,2-2,0-2,1-1,2-2,0-2,1-1,,1-2,1-1,,3-1,3-1,3-0,2-0,1-1,2-0,0-2,,1-3,1-1,,2-2,2016,48,34,.585,9.0,100.0,98.4,1.50,2016,Miami Heat,1,1-1,,,,1-1,3-1,2-0,2-2
17,Milwaukee Bucks,2-1,1-3,,1-3,1-3,1-1,1-1,1-3,1-1,1-1,1-3,0-2,1-1,2-1,,2-0,,2-2,2-2,3-0,2-0,1-1,0-2,0-2,,0-4,0-2,,1-3,2016,33,49,.402,24.0,99.0,103.2,-3.98,2016,Milwaukee Bucks,0,1-1,,,,0-2,3-0,1-1,1-3
18,Minnesota Timberwolves,2-0,1-1,,2-0,0-2,0-4,1-3,0-2,1-2,0-3,0-2,1-3,2-1,1-1,0-2,,,0-2,0-2,1-1,2-2,1-3,4-0,0-3,,1-1,1-3,,1-1,2016,29,53,.354,44.0,102.4,106.0,-3.38,2016,Minnesota Timberwolves,0,2-2,,,,1-3,2-0,2-2,0-2
19,New Orleans Pelicans,0-2,0-2,,0-2,1-1,2-2,2-1,2-0,0-3,1-3,0-2,1-3,1-2,0-2,1-1,2-2,,1-1,0-2,1-1,2-2,1-3,4-0,1-3,,0-2,2-2,,1-1,2016,30,52,.366,43.0,102.7,106.5,-3.56,2016,New Orleans Pelicans,0,0-4,,,,1-2,2-0,,1-1
20,New York Knicks,2-2,1-3,,3-1,0-4,0-2,0-2,2-1,0-2,1-1,0-3,0-2,2-0,1-3,2-2,2-0,,,1-2,4-0,2-0,1-1,0-2,0-2,,1-3,1-1,,1-2,2016,32,50,.390,25.0,98.4,101.1,-2.74,2016,New York Knicks,0,0-2,,,,1-1,2-2,1-1,1-3
21,Oklahoma City Thunder,1-1,1-1,,0-2,0-2,4-0,4-0,1-1,0-3,2-2,1-1,3-1,4-0,1-1,2-0,3-1,,1-1,2-0,2-0,3-0,2-2,2-2,2-2,,1-1,4-0,,2-0,2016,55,27,.671,18.0,110.2,102.9,7.09,2016,Oklahoma City Thunder,1,2-1,,,,,1-1,2-1,2-0
22,Orlando Magic,2-2,2-2,,2-1,0-4,1-1,2-0,0-3,0-2,1-1,1-3,0-2,1-1,1-3,2-2,2-0,,2-1,,3-1,0-2,1-1,1-1,0-2,,1-2,2-0,,0-4,2016,35,47,.427,22.0,102.1,103.7,-1.68,2016,Orlando Magic,0,1-1,,,,0-2,4-0,2-0,1-3
23,Philadelphia 76ers,0-3,0-4,,0-4,0-4,0-2,0-2,0-4,0-2,0-2,0-3,0-2,1-1,0-3,0-3,1-1,,0-4,1-3,,2-0,1-1,1-1,0-2,,0-4,0-2,,0-4,2016,10,72,.122,47.0,97.4,107.6,-9.92,2016,Philadelphia 76ers,0,0-2,,,,0-2,2-2,1-1,0-4
24,Phoenix Suns,1-1,0-2,,1-1,0-2,0-3,2-2,0-2,0-4,1-2,0-2,2-2,3-1,0-2,0-2,2-2,,0-2,2-0,0-2,,2-1,1-3,0-4,,1-1,0-4,,0-2,2016,23,59,.280,50.0,100.9,107.5,-6.32,2016,Phoenix Suns,0,2-2,,,,0-3,0-2,2-2,1-1
25,Portland Trail Blazers,0-2,1-1,,1-1,1-1,1-2,3-1,0-2,1-3,2-2,2-0,1-3,3-0,1-1,1-1,3-1,,1-1,1-1,1-1,1-2,,4-0,0-3,,0-2,3-1,,2-0,2016,44,38,.537,29.0,105.1,104.3,0.98,2016,Portland Trail Blazers,1,2-2,,,,2-2,2-0,3-1,1-1
26,Sacramento Kings,1-1,0-2,,0-2,0-2,3-1,3-0,1-1,0-4,1-3,2-0,1-3,4-0,0-2,2-0,0-4,,2-0,1-1,1-1,3-1,0-4,,0-3,,2-0,2-1,,1-1,2016,33,49,.402,40.0,106.6,109.1,-2.32,2016,Sacramento Kings,0,0-3,,,,2-2,1-1,0-4,0-2
27,San Antonio Spurs,2-0,2-0,,1-1,1-1,4-0,3-1,2-0,1-3,3-1,1-1,2-1,4-0,2-0,2-0,3-0,,2-0,2-0,2-0,4-0,3-0,3-0,,,1-1,4-0,,1-1,2016,67,15,.817,6.0,103.5,92.9,10.28,2016,San Antonio Spurs,1,4-0,,,,2-2,2-0,3-1,1-1
28,Toronto Raptors,3-1,3-1,,0-4,2-1,2-0,0-2,2-1,0-2,0-2,3-1,2-0,2-0,3-1,4-0,1-1,,3-1,2-1,4-0,1-1,2-0,0-2,1-1,,,1-1,,4-0,2016,56,26,.683,1.0,102.7,98.2,4.08,2016,Toronto Raptors,1,2-0,,,,1-1,4-0,2-0,2-1
29,Utah Jazz,1-1,1-1,,1-1,1-1,1-2,4-0,0-2,0-4,2-2,2-0,1-2,3-1,1-1,2-0,3-1,,1-1,0-2,2-0,4-0,1-3,1-2,0-4,,1-1,,,1-1,2016,40,42,.488,33.0,97.7,95.9,1.84,2016,Utah Jazz,0,2-1,,,,0-4,1-1,2-2,1-1
30,Washington Wizards,2-2,0-4,,2-1,2-2,1-1,0-2,3-1,0-2,1-1,1-2,0-2,1-1,2-2,3-1,1-1,,2-1,4-0,4-0,2-0,0-2,1-1,1-1,,0-4,1-1,,,2016,41,41,.500,16.0,104.1,104.6,-0.50,2016,Washington Wizards,0,1-1,,,,0-2,3-0,1-1,2-2
0,Atlanta Hawks,,2-1,,3-1,3-1,2-0,2-0,1-2,0-2,2-0,1-2,0-2,0-2,2-2,3-1,0-2,,3-1,2-2,4-0,1-1,1-1,1-1,1-1,,2-1,0-2,,1-3,2017,43,39,.524,10.0,103.2,104.0,-1.23,2017,Atlanta Hawks,1,1-1,,,,1-1,2-2,1-1,1-3
1,Boston Celtics,1-2,,,2-2,1-3,2-0,0-2,3-1,1-1,1-1,3-0,1-1,2-0,4-0,2-1,2-0,,3-1,3-0,3-1,1-1,1-1,1-1,0-2,,1-3,2-0,,2-2,2017,53,29,.646,—,108.0,105.4,2.25,2017,Boston Celtics,1,2-0,,,,0-2,4-0,1-1,4-0
2,Brooklyn Nets,2-2,0-4,,1-3,0-3,0-2,1-1,2-1,0-2,0-2,1-3,1-1,1-1,0-3,0-4,1-1,,2-2,1-2,1-3,2-0,0-2,1-1,0-2,,0-4,0-2,,0-4,2017,20,62,.244,33.0,105.8,112.5,-6.74,2017,Brooklyn Nets,0,1-1,,,,0-2,,1-1,1-3
3,Chicago Bulls,1-3,2-2,,,4-0,0-2,0-2,2-2,1-1,0-2,2-2,0-2,1-1,2-1,1-3,0-2,,0-3,3-1,3-1,1-1,1-1,2-0,1-1,,2-1,2-0,,1-3,2017,41,41,.500,12.0,102.9,102.4,0.03,2017,Chicago Bulls,1,1-1,,,,1-1,3-1,2-0,2-1
4,Charlotte Hornets,3-1,0-4,,1-2,0-4,2-0,2-0,1-3,0-2,0-2,2-2,0-2,2-0,2-2,1-2,1-1,,1-2,4-0,1-2,1-1,1-1,1-1,0-2,,2-2,1-1,,1-3,2017,36,46,.439,17.0,104.9,104.7,-0.07,2017,Charlotte Hornets,0,1-1,,,,2-0,3-1,0-2,
